DateID;FullDate (yyyy-mm-dd);Year (yyyy);Semester;Trimester;Quarter;Month (mm);MonthName;YearWeek;MonthWeek;WeekDay;WeekDayName;Day (dd);YearDay;Weekend;LastDayOfMonth;Season
48;1900-02-17;1900;1;1;1;2;February;7;3;7;Saturday;17;48;Yes;No;Winter
49;1900-02-18;1900;1;1;1;2;February;8;4;1;Sunday;18;49;Yes;No;Winter
50;1900-02-19;1900;1;1;1;2;February;8;4;2;Monday;19;50;No;No;Winter
51;1900-02-20;1900;1;1;1;2;February;8;4;3;Tuesday;20;51;No;No;Winter
52;1900-02-21;1900;1;1;1;2;February;8;4;4;Wednesday;21;52;No;No;Winter
53;1900-02-22;1900;1;1;1;2;February;8;4;5;Thursday;22;53;No;No;Winter
54;1900-02-23;1900;1;1;1;2;February;8;4;6;Friday;23;54;No;No;Winter
55;1900-02-24;1900;1;1;1;2;February;8;4;7;Saturday;24;55;Yes;No;Winter
56;1900-02-25;1900;1;1;1;2;February;9;5;1;Sunday;25;56;Yes;No;Winter
57;1900-02-26;1900;1;1;1;2;February;9;5;2;Monday;26;57;No;No;Winter
58;1900-02-27;1900;1;1;1;2;February;9;5;3;Tuesday;27;58;No;No;Winter
59;1900-02-28;1900;1;1;1;2;February;9;5;4;Wednesday;28;59;No;Yes;Winter
60;1900-03-01;1900;1;1;1;3;March;9;1;5;Thursday;1;60;No;No;Spring
61;1900-03-02;1900;1;1;1;3;March;9;1;6;Friday;2;61;No;No;Spring
62;1900-03-03;1900;1;1;1;3;March;9;2;7;Saturday;3;62;Yes;No;Spring
63;1900-03-04;1900;1;1;1;3;March;10;2;1;Sunday;4;63;Yes;No;Spring
64;1900-03-05;1900;1;1;1;3;March;10;2;2;Monday;5;64;No;No;Spring
65;1900-03-06;1900;1;1;1;3;March;10;2;3;Tuesday;6;65;No;No;Spring
66;1900-03-07;1900;1;1;1;3;March;10;2;4;Wednesday;7;66;No;No;Spring
67;1900-03-08;1900;1;1;1;3;March;10;2;5;Thursday;8;67;No;No;Spring
68;1900-03-09;1900;1;1;1;3;March;10;2;6;Friday;9;68;No;No;Spring
69;1900-03-10;1900;1;1;1;3;March;10;3;7;Saturday;10;69;Yes;No;Spring
70;1900-03-11;1900;1;1;1;3;March;11;3;1;Sunday;11;70;Yes;No;Spring
71;1900-03-12;1900;1;1;1;3;March;11;3;2;Monday;12;71;No;No;Spring
72;1900-03-13;1900;1;1;1;3;March;11;3;3;Tuesday;13;72;No;No;Spring
73;1900-03-14;1900;1;1;1;3;March;11;3;4;Wednesday;14;73;No;No;Spring
74;1900-03-15;1900;1;1;1;3;March;11;3;5;Thursday;15;74;No;No;Spring
75;1900-03-16;1900;1;1;1;3;March;11;3;6;Friday;16;75;No;No;Spring
76;1900-03-17;1900;1;1;1;3;March;11;4;7;Saturday;17;76;Yes;No;Spring
77;1900-03-18;1900;1;1;1;3;March;12;4;1;Sunday;18;77;Yes;No;Spring
78;1900-03-19;1900;1;1;1;3;March;12;4;2;Monday;19;78;No;No;Spring
79;1900-03-20;1900;1;1;1;3;March;12;4;3;Tuesday;20;79;No;No;Spring
80;1900-03-21;1900;1;1;1;3;March;12;4;4;Wednesday;21;80;No;No;Spring
81;1900-03-22;1900;1;1;1;3;March;12;4;5;Thursday;22;81;No;No;Spring
82;1900-03-23;1900;1;1;1;3;March;12;4;6;Friday;23;82;No;No;Spring
83;1900-03-24;1900;1;1;1;3;March;12;5;7;Saturday;24;83;Yes;No;Spring
84;1900-03-25;1900;1;1;1;3;March;13;5;1;Sunday;25;84;Yes;No;Spring
85;1900-03-26;1900;1;1;1;3;March;13;5;2;Monday;26;85;No;No;Spring
86;1900-03-27;1900;1;1;1;3;March;13;5;3;Tuesday;27;86;No;No;Spring
87;1900-03-28;1900;1;1;1;3;March;13;5;4;Wednesday;28;87;No;No;Spring
88;1900-03-29;1900;1;1;1;3;March;13;5;5;Thursday;29;88;No;No;Spring
89;1900-03-30;1900;1;1;1;3;March;13;5;6;Friday;30;89;No;No;Spring
90;1900-03-31;1900;1;1;1;3;March;13;6;7;Saturday;31;90;Yes;Yes;Spring
91;1900-04-01;1900;1;1;2;4;April;14;1;1;Sunday;1;91;Yes;No;Spring
92;1900-04-02;1900;1;1;2;4;April;14;1;2;Monday;2;92;No;No;Spring
93;1900-04-03;1900;1;1;2;4;April;14;1;3;Tuesday;3;93;No;No;Spring
94;1900-04-04;1900;1;1;2;4;April;14;1;4;Wednesday;4;94;No;No;Spring
95;1900-04-05;1900;1;1;2;4;April;14;1;5;Thursday;5;95;No;No;Spring
96;1900-04-06;1900;1;1;2;4;April;14;1;6;Friday;6;96;No;No;Spring
97;1900-04-07;1900;1;1;2;4;April;14;2;7;Saturday;7;97;Yes;No;Spring
98;1900-04-08;1900;1;1;2;4;April;15;2;1;Sunday;8;98;Yes;No;Spring
99;1900-04-09;1900;1;1;2;4;April;15;2;2;Monday;9;99;No;No;Spring
100;1900-04-10;1900;1;1;2;4;April;15;2;3;Tuesday;10;100;No;No;Spring
101;1900-04-11;1900;1;1;2;4;April;15;2;4;Wednesday;11;101;No;No;Spring
102;1900-04-12;1900;1;1;2;4;April;15;2;5;Thursday;12;102;No;No;Spring
103;1900-04-13;1900;1;1;2;4;April;15;2;6;Friday;13;103;No;No;Spring
104;1900-04-14;1900;1;1;2;4;April;15;3;7;Saturday;14;104;Yes;No;Spring
105;1900-04-15;1900;1;1;2;4;April;16;3;1;Sunday;15;105;Yes;No;Spring
106;1900-04-16;1900;1;1;2;4;April;16;3;2;Monday;16;106;No;No;Spring
107;1900-04-17;1900;1;1;2;4;April;16;3;3;Tuesday;17;107;No;No;Spring
108;1900-04-18;1900;1;1;2;4;April;16;3;4;Wednesday;18;108;No;No;Spring
109;1900-04-19;1900;1;1;2;4;April;16;3;5;Thursday;19;109;No;No;Spring
110;1900-04-20;1900;1;1;2;4;April;16;3;6;Friday;20;110;No;No;Spring
111;1900-04-21;1900;1;1;2;4;April;16;4;7;Saturday;21;111;Yes;No;Spring
112;1900-04-22;1900;1;1;2;4;April;17;4;1;Sunday;22;112;Yes;No;Spring
113;1900-04-23;1900;1;1;2;4;April;17;4;2;Monday;23;113;No;No;Spring
114;1900-04-24;1900;1;1;2;4;April;17;4;3;Tuesday;24;114;No;No;Spring
115;1900-04-25;1900;1;1;2;4;April;17;4;4;Wednesday;25;115;No;No;Spring
116;1900-04-26;1900;1;1;2;4;April;17;4;5;Thursday;26;116;No;No;Spring
117;1900-04-27;1900;1;1;2;4;April;17;4;6;Friday;27;117;No;No;Spring
118;1900-04-28;1900;1;1;2;4;April;17;5;7;Saturday;28;118;Yes;No;Spring
119;1900-04-29;1900;1;1;2;4;April;18;5;1;Sunday;29;119;Yes;No;Spring
120;1900-04-30;1900;1;1;2;4;April;18;5;2;Monday;30;120;No;Yes;Spring
121;1900-05-01;1900;1;2;2;5;May;18;1;3;Tuesday;1;121;No;No;Spring
122;1900-05-02;1900;1;2;2;5;May;18;1;4;Wednesday;2;122;No;No;Spring
123;1900-05-03;1900;1;2;2;5;May;18;1;5;Thursday;3;123;No;No;Spring
124;1900-05-04;1900;1;2;2;5;May;18;1;6;Friday;4;124;No;No;Spring
125;1900-05-05;1900;1;2;2;5;May;18;2;7;Saturday;5;125;Yes;No;Spring
126;1900-05-06;1900;1;2;2;5;May;19;2;1;Sunday;6;126;Yes;No;Spring
127;1900-05-07;1900;1;2;2;5;May;19;2;2;Monday;7;127;No;No;Spring
128;1900-05-08;1900;1;2;2;5;May;19;2;3;Tuesday;8;128;No;No;Spring
129;1900-05-09;1900;1;2;2;5;May;19;2;4;Wednesday;9;129;No;No;Spring
130;1900-05-10;1900;1;2;2;5;May;19;2;5;Thursday;10;130;No;No;Spring
131;1900-05-11;1900;1;2;2;5;May;19;2;6;Friday;11;131;No;No;Spring
132;1900-05-12;1900;1;2;2;5;May;19;3;7;Saturday;12;132;Yes;No;Spring
133;1900-05-13;1900;1;2;2;5;May;20;3;1;Sunday;13;133;Yes;No;Spring
134;1900-05-14;1900;1;2;2;5;May;20;3;2;Monday;14;134;No;No;Spring
135;1900-05-15;1900;1;2;2;5;May;20;3;3;Tuesday;15;135;No;No;Spring
136;1900-05-16;1900;1;2;2;5;May;20;3;4;Wednesday;16;136;No;No;Spring
137;1900-05-17;1900;1;2;2;5;May;20;3;5;Thursday;17;137;No;No;Spring
138;1900-05-18;1900;1;2;2;5;May;20;3;6;Friday;18;138;No;No;Spring
139;1900-05-19;1900;1;2;2;5;May;20;4;7;Saturday;19;139;Yes;No;Spring
140;1900-05-20;1900;1;2;2;5;May;21;4;1;Sunday;20;140;Yes;No;Spring
141;1900-05-21;1900;1;2;2;5;May;21;4;2;Monday;21;141;No;No;Spring
142;1900-05-22;1900;1;2;2;5;May;21;4;3;Tuesday;22;142;No;No;Spring
143;1900-05-23;1900;1;2;2;5;May;21;4;4;Wednesday;23;143;No;No;Spring
144;1900-05-24;1900;1;2;2;5;May;21;4;5;Thursday;24;144;No;No;Spring
145;1900-05-25;1900;1;2;2;5;May;21;4;6;Friday;25;145;No;No;Spring
146;1900-05-26;1900;1;2;2;5;May;21;5;7;Saturday;26;146;Yes;No;Spring
147;1900-05-27;1900;1;2;2;5;May;22;5;1;Sunday;27;147;Yes;No;Spring
148;1900-05-28;1900;1;2;2;5;May;22;5;2;Monday;28;148;No;No;Spring
149;1900-05-29;1900;1;2;2;5;May;22;5;3;Tuesday;29;149;No;No;Spring
150;1900-05-30;1900;1;2;2;5;May;22;5;4;Wednesday;30;150;No;No;Spring
151;1900-05-31;1900;1;2;2;5;May;22;5;5;Thursday;31;151;No;Yes;Spring
152;1900-06-01;1900;1;2;2;6;June;22;1;6;Friday;1;152;No;No;Summer
153;1900-06-02;1900;1;2;2;6;June;22;2;7;Saturday;2;153;Yes;No;Summer
154;1900-06-03;1900;1;2;2;6;June;23;2;1;Sunday;3;154;Yes;No;Summer
155;1900-06-04;1900;1;2;2;6;June;23;2;2;Monday;4;155;No;No;Summer
156;1900-06-05;1900;1;2;2;6;June;23;2;3;Tuesday;5;156;No;No;Summer
157;1900-06-06;1900;1;2;2;6;June;23;2;4;Wednesday;6;157;No;No;Summer
158;1900-06-07;1900;1;2;2;6;June;23;2;5;Thursday;7;158;No;No;Summer
159;1900-06-08;1900;1;2;2;6;June;23;2;6;Friday;8;159;No;No;Summer
160;1900-06-09;1900;1;2;2;6;June;23;3;7;Saturday;9;160;Yes;No;Summer
161;1900-06-10;1900;1;2;2;6;June;24;3;1;Sunday;10;161;Yes;No;Summer
162;1900-06-11;1900;1;2;2;6;June;24;3;2;Monday;11;162;No;No;Summer
163;1900-06-12;1900;1;2;2;6;June;24;3;3;Tuesday;12;163;No;No;Summer
164;1900-06-13;1900;1;2;2;6;June;24;3;4;Wednesday;13;164;No;No;Summer
165;1900-06-14;1900;1;2;2;6;June;24;3;5;Thursday;14;165;No;No;Summer
166;1900-06-15;1900;1;2;2;6;June;24;3;6;Friday;15;166;No;No;Summer
167;1900-06-16;1900;1;2;2;6;June;24;4;7;Saturday;16;167;Yes;No;Summer
168;1900-06-17;1900;1;2;2;6;June;25;4;1;Sunday;17;168;Yes;No;Summer
169;1900-06-18;1900;1;2;2;6;June;25;4;2;Monday;18;169;No;No;Summer
170;1900-06-19;1900;1;2;2;6;June;25;4;3;Tuesday;19;170;No;No;Summer
171;1900-06-20;1900;1;2;2;6;June;25;4;4;Wednesday;20;171;No;No;Summer
172;1900-06-21;1900;1;2;2;6;June;25;4;5;Thursday;21;172;No;No;Summer
173;1900-06-22;1900;1;2;2;6;June;25;4;6;Friday;22;173;No;No;Summer
174;1900-06-23;1900;1;2;2;6;June;25;5;7;Saturday;23;174;Yes;No;Summer
175;1900-06-24;1900;1;2;2;6;June;26;5;1;Sunday;24;175;Yes;No;Summer
176;1900-06-25;1900;1;2;2;6;June;26;5;2;Monday;25;176;No;No;Summer
177;1900-06-26;1900;1;2;2;6;June;26;5;3;Tuesday;26;177;No;No;Summer
178;1900-06-27;1900;1;2;2;6;June;26;5;4;Wednesday;27;178;No;No;Summer
179;1900-06-28;1900;1;2;2;6;June;26;5;5;Thursday;28;179;No;No;Summer
180;1900-06-29;1900;1;2;2;6;June;26;5;6;Friday;29;180;No;No;Summer
181;1900-06-30;1900;1;2;2;6;June;26;6;7;Saturday;30;181;Yes;Yes;Summer
182;1900-07-01;1900;2;2;3;7;July;27;1;1;Sunday;1;182;Yes;No;Summer
183;1900-07-02;1900;2;2;3;7;July;27;1;2;Monday;2;183;No;No;Summer
184;1900-07-03;1900;2;2;3;7;July;27;1;3;Tuesday;3;184;No;No;Summer
185;1900-07-04;1900;2;2;3;7;July;27;1;4;Wednesday;4;185;No;No;Summer
186;1900-07-05;1900;2;2;3;7;July;27;1;5;Thursday;5;186;No;No;Summer
187;1900-07-06;1900;2;2;3;7;July;27;1;6;Friday;6;187;No;No;Summer
188;1900-07-07;1900;2;2;3;7;July;27;2;7;Saturday;7;188;Yes;No;Summer
189;1900-07-08;1900;2;2;3;7;July;28;2;1;Sunday;8;189;Yes;No;Summer
190;1900-07-09;1900;2;2;3;7;July;28;2;2;Monday;9;190;No;No;Summer
191;1900-07-10;1900;2;2;3;7;July;28;2;3;Tuesday;10;191;No;No;Summer
192;1900-07-11;1900;2;2;3;7;July;28;2;4;Wednesday;11;192;No;No;Summer
193;1900-07-12;1900;2;2;3;7;July;28;2;5;Thursday;12;193;No;No;Summer
194;1900-07-13;1900;2;2;3;7;July;28;2;6;Friday;13;194;No;No;Summer
195;1900-07-14;1900;2;2;3;7;July;28;3;7;Saturday;14;195;Yes;No;Summer
196;1900-07-15;1900;2;2;3;7;July;29;3;1;Sunday;15;196;Yes;No;Summer
197;1900-07-16;1900;2;2;3;7;July;29;3;2;Monday;16;197;No;No;Summer
198;1900-07-17;1900;2;2;3;7;July;29;3;3;Tuesday;17;198;No;No;Summer
199;1900-07-18;1900;2;2;3;7;July;29;3;4;Wednesday;18;199;No;No;Summer
200;1900-07-19;1900;2;2;3;7;July;29;3;5;Thursday;19;200;No;No;Summer
201;1900-07-20;1900;2;2;3;7;July;29;3;6;Friday;20;201;No;No;Summer
202;1900-07-21;1900;2;2;3;7;July;29;4;7;Saturday;21;202;Yes;No;Summer
203;1900-07-22;1900;2;2;3;7;July;30;4;1;Sunday;22;203;Yes;No;Summer
204;1900-07-23;1900;2;2;3;7;July;30;4;2;Monday;23;204;No;No;Summer
205;1900-07-24;1900;2;2;3;7;July;30;4;3;Tuesday;24;205;No;No;Summer
206;1900-07-25;1900;2;2;3;7;July;30;4;4;Wednesday;25;206;No;No;Summer
207;1900-07-26;1900;2;2;3;7;July;30;4;5;Thursday;26;207;No;No;Summer
208;1900-07-27;1900;2;2;3;7;July;30;4;6;Friday;27;208;No;No;Summer
209;1900-07-28;1900;2;2;3;7;July;30;5;7;Saturday;28;209;Yes;No;Summer
210;1900-07-29;1900;2;2;3;7;July;31;5;1;Sunday;29;210;Yes;No;Summer
211;1900-07-30;1900;2;2;3;7;July;31;5;2;Monday;30;211;No;No;Summer
212;1900-07-31;1900;2;2;3;7;July;31;5;3;Tuesday;31;212;No;Yes;Summer
213;1900-08-01;1900;2;2;3;8;August;31;1;4;Wednesday;1;213;No;No;Summer
214;1900-08-02;1900;2;2;3;8;August;31;1;5;Thursday;2;214;No;No;Summer
215;1900-08-03;1900;2;2;3;8;August;31;1;6;Friday;3;215;No;No;Summer
216;1900-08-04;1900;2;2;3;8;August;31;2;7;Saturday;4;216;Yes;No;Summer
217;1900-08-05;1900;2;2;3;8;August;32;2;1;Sunday;5;217;Yes;No;Summer
218;1900-08-06;1900;2;2;3;8;August;32;2;2;Monday;6;218;No;No;Summer
219;1900-08-07;1900;2;2;3;8;August;32;2;3;Tuesday;7;219;No;No;Summer
220;1900-08-08;1900;2;2;3;8;August;32;2;4;Wednesday;8;220;No;No;Summer
221;1900-08-09;1900;2;2;3;8;August;32;2;5;Thursday;9;221;No;No;Summer
222;1900-08-10;1900;2;2;3;8;August;32;2;6;Friday;10;222;No;No;Summer
223;1900-08-11;1900;2;2;3;8;August;32;3;7;Saturday;11;223;Yes;No;Summer
224;1900-08-12;1900;2;2;3;8;August;33;3;1;Sunday;12;224;Yes;No;Summer
225;1900-08-13;1900;2;2;3;8;August;33;3;2;Monday;13;225;No;No;Summer
226;1900-08-14;1900;2;2;3;8;August;33;3;3;Tuesday;14;226;No;No;Summer
227;1900-08-15;1900;2;2;3;8;August;33;3;4;Wednesday;15;227;No;No;Summer
228;1900-08-16;1900;2;2;3;8;August;33;3;5;Thursday;16;228;No;No;Summer
229;1900-08-17;1900;2;2;3;8;August;33;3;6;Friday;17;229;No;No;Summer
230;1900-08-18;1900;2;2;3;8;August;33;4;7;Saturday;18;230;Yes;No;Summer
231;1900-08-19;1900;2;2;3;8;August;34;4;1;Sunday;19;231;Yes;No;Summer
232;1900-08-20;1900;2;2;3;8;August;34;4;2;Monday;20;232;No;No;Summer
233;1900-08-21;1900;2;2;3;8;August;34;4;3;Tuesday;21;233;No;No;Summer
234;1900-08-22;1900;2;2;3;8;August;34;4;4;Wednesday;22;234;No;No;Summer
235;1900-08-23;1900;2;2;3;8;August;34;4;5;Thursday;23;235;No;No;Summer
236;1900-08-24;1900;2;2;3;8;August;34;4;6;Friday;24;236;No;No;Summer
237;1900-08-25;1900;2;2;3;8;August;34;5;7;Saturday;25;237;Yes;No;Summer
238;1900-08-26;1900;2;2;3;8;August;35;5;1;Sunday;26;238;Yes;No;Summer
239;1900-08-27;1900;2;2;3;8;August;35;5;2;Monday;27;239;No;No;Summer
240;1900-08-28;1900;2;2;3;8;August;35;5;3;Tuesday;28;240;No;No;Summer
241;1900-08-29;1900;2;2;3;8;August;35;5;4;Wednesday;29;241;No;No;Summer
242;1900-08-30;1900;2;2;3;8;August;35;5;5;Thursday;30;242;No;No;Summer
243;1900-08-31;1900;2;2;3;8;August;35;5;6;Friday;31;243;No;Yes;Summer
244;1900-09-01;1900;2;3;3;9;September;35;2;7;Saturday;1;244;Yes;No;Fall
245;1900-09-02;1900;2;3;3;9;September;36;2;1;Sunday;2;245;Yes;No;Fall
246;1900-09-03;1900;2;3;3;9;September;36;2;2;Monday;3;246;No;No;Fall
247;1900-09-04;1900;2;3;3;9;September;36;2;3;Tuesday;4;247;No;No;Fall
248;1900-09-05;1900;2;3;3;9;September;36;2;4;Wednesday;5;248;No;No;Fall
249;1900-09-06;1900;2;3;3;9;September;36;2;5;Thursday;6;249;No;No;Fall
250;1900-09-07;1900;2;3;3;9;September;36;2;6;Friday;7;250;No;No;Fall
251;1900-09-08;1900;2;3;3;9;September;36;3;7;Saturday;8;251;Yes;No;Fall
252;1900-09-09;1900;2;3;3;9;September;37;3;1;Sunday;9;252;Yes;No;Fall
253;1900-09-10;1900;2;3;3;9;September;37;3;2;Monday;10;253;No;No;Fall
254;1900-09-11;1900;2;3;3;9;September;37;3;3;Tuesday;11;254;No;No;Fall
255;1900-09-12;1900;2;3;3;9;September;37;3;4;Wednesday;12;255;No;No;Fall
256;1900-09-13;1900;2;3;3;9;September;37;3;5;Thursday;13;256;No;No;Fall
257;1900-09-14;1900;2;3;3;9;September;37;3;6;Friday;14;257;No;No;Fall
258;1900-09-15;1900;2;3;3;9;September;37;4;7;Saturday;15;258;Yes;No;Fall
259;1900-09-16;1900;2;3;3;9;September;38;4;1;Sunday;16;259;Yes;No;Fall
260;1900-09-17;1900;2;3;3;9;September;38;4;2;Monday;17;260;No;No;Fall
261;1900-09-18;1900;2;3;3;9;September;38;4;3;Tuesday;18;261;No;No;Fall
262;1900-09-19;1900;2;3;3;9;September;38;4;4;Wednesday;19;262;No;No;Fall
263;1900-09-20;1900;2;3;3;9;September;38;4;5;Thursday;20;263;No;No;Fall
264;1900-09-21;1900;2;3;3;9;September;38;4;6;Friday;21;264;No;No;Fall
265;1900-09-22;1900;2;3;3;9;September;38;5;7;Saturday;22;265;Yes;No;Fall
266;1900-09-23;1900;2;3;3;9;September;39;5;1;Sunday;23;266;Yes;No;Fall
267;1900-09-24;1900;2;3;3;9;September;39;5;2;Monday;24;267;No;No;Fall
268;1900-09-25;1900;2;3;3;9;September;39;5;3;Tuesday;25;268;No;No;Fall
269;1900-09-26;1900;2;3;3;9;September;39;5;4;Wednesday;26;269;No;No;Fall
270;1900-09-27;1900;2;3;3;9;September;39;5;5;Thursday;27;270;No;No;Fall
271;1900-09-28;1900;2;3;3;9;September;39;5;6;Friday;28;271;No;No;Fall
272;1900-09-29;1900;2;3;3;9;September;39;6;7;Saturday;29;272;Yes;No;Fall
273;1900-09-30;1900;2;3;3;9;September;40;6;1;Sunday;30;273;Yes;Yes;Fall
274;1900-10-01;1900;2;3;4;10;October;40;1;2;Monday;1;274;No;No;Fall
275;1900-10-02;1900;2;3;4;10;October;40;1;3;Tuesday;2;275;No;No;Fall
276;1900-10-03;1900;2;3;4;10;October;40;1;4;Wednesday;3;276;No;No;Fall
277;1900-10-04;1900;2;3;4;10;October;40;1;5;Thursday;4;277;No;No;Fall
278;1900-10-05;1900;2;3;4;10;October;40;1;6;Friday;5;278;No;No;Fall
279;1900-10-06;1900;2;3;4;10;October;40;2;7;Saturday;6;279;Yes;No;Fall
280;1900-10-07;1900;2;3;4;10;October;41;2;1;Sunday;7;280;Yes;No;Fall
281;1900-10-08;1900;2;3;4;10;October;41;2;2;Monday;8;281;No;No;Fall
282;1900-10-09;1900;2;3;4;10;October;41;2;3;Tuesday;9;282;No;No;Fall
283;1900-10-10;1900;2;3;4;10;October;41;2;4;Wednesday;10;283;No;No;Fall
284;1900-10-11;1900;2;3;4;10;October;41;2;5;Thursday;11;284;No;No;Fall
285;1900-10-12;1900;2;3;4;10;October;41;2;6;Friday;12;285;No;No;Fall
286;1900-10-13;1900;2;3;4;10;October;41;3;7;Saturday;13;286;Yes;No;Fall
287;1900-10-14;1900;2;3;4;10;October;42;3;1;Sunday;14;287;Yes;No;Fall
288;1900-10-15;1900;2;3;4;10;October;42;3;2;Monday;15;288;No;No;Fall
289;1900-10-16;1900;2;3;4;10;October;42;3;3;Tuesday;16;289;No;No;Fall
290;1900-10-17;1900;2;3;4;10;October;42;3;4;Wednesday;17;290;No;No;Fall
291;1900-10-18;1900;2;3;4;10;October;42;3;5;Thursday;18;291;No;No;Fall
292;1900-10-19;1900;2;3;4;10;October;42;3;6;Friday;19;292;No;No;Fall
293;1900-10-20;1900;2;3;4;10;October;42;4;7;Saturday;20;293;Yes;No;Fall
294;1900-10-21;1900;2;3;4;10;October;43;4;1;Sunday;21;294;Yes;No;Fall
295;1900-10-22;1900;2;3;4;10;October;43;4;2;Monday;22;295;No;No;Fall
296;1900-10-23;1900;2;3;4;10;October;43;4;3;Tuesday;23;296;No;No;Fall
297;1900-10-24;1900;2;3;4;10;October;43;4;4;Wednesday;24;297;No;No;Fall
298;1900-10-25;1900;2;3;4;10;October;43;4;5;Thursday;25;298;No;No;Fall
299;1900-10-26;1900;2;3;4;10;October;43;4;6;Friday;26;299;No;No;Fall
300;1900-10-27;1900;2;3;4;10;October;43;5;7;Saturday;27;300;Yes;No;Fall
301;1900-10-28;1900;2;3;4;10;October;44;5;1;Sunday;28;301;Yes;No;Fall
302;1900-10-29;1900;2;3;4;10;October;44;5;2;Monday;29;302;No;No;Fall
